Name,Gender,Study_Hours,Attendance,Internal_Marks,External_Marks,Final_Result
Student_001,Male,4.6,100,14,61,Fail
Student_002,Female,2.3,96,21,73,Pass
Student_003,Male,8.4,96,10,57,Fail
Student_004,Female,2.6,85,14,38,Fail
Student_005,Male,4.0,85,23,60,Pass
Student_006,Female,5.4,99,18,70,Pass
Student_007,Male,7.0,91,15,26,Fail
Student_008,Female,2.7,83,10,29,Fail
Student_009,Male,3.5,70,23,47,Fail
Student_010,Male,3.6,54,13,37,Fail
Student_011,Male,5.4,73,10,50,Fail
Student_012,Female,3.7,73,16,57,Fail
Student_013,Female,4.5,83,21,62,Pass
Student_014,Female,3.8,52,23,41,Fail
Student_015,Male,2.5,53,18,39,Fail
Student_016,Male,4.1,99,18,61,Fail
Student_017,Female,3.3,54,22,35,Fail
Student_018,Female,3.5,67,25,71,Pass
Student_019,Female,2.7,80,15,56,Fail
Student_020,Female,3.8,68,12,30,Fail
Student_021,Male,3.7,97,18,54,Fail
Student_022,Male,3.0,64,11,51,Fail
Student_023,Male,7.5,92,20,50,Fail
Student_024,Male,3.4,86,16,72,Pass
Student_025,Male,5.5,52,13,22,Fail
Student_026,Male,8.6,62,25,31,Fail
Student_027,Male,5.2,89,19,52,Fail
Student_028,Female,5.5,87,14,20,Fail
Student_029,Male,2.3,54,16,55,Fail
Student_030,Female,1.9,93,17,48,Fail
Student_031,Male,4.5,57,15,60,Fail
Student_032,Male,3.6,57,16,26,Fail
Student_033,Female,3.1,52,21,54,Fail
Student_034,Female,6.5,51,23,64,Fail
Student_035,Male,2.9,65,23,20,Fail
Student_036,Female,3.7,76,21,62,Pass
Student_037,Female,3.8,52,15,41,Fail
Student_038,Male,4.4,59,23,29,Fail
Student_039,Male,8.9,98,24,41,Fail
Student_040,Male,7.4,67,18,53,Fail
Student_041,Female,7.5,78,23,35,Fail
Student_042,Male,7.2,81,23,24,Fail
Student_043,Male,7.1,97,20,40,Fail
Student_044,Male,2.8,75,24,69,Pass
Student_045,Female,4.6,56,22,48,Fail
Student_046,Male,4.8,57,13,57,Fail
Student_047,Male,4.0,90,13,55,Fail
Student_048,Male,8.7,60,20,68,Pass
Student_049,Female,2.1,60,22,36,Fail
Student_050,Female,6.4,65,10,22,Fail
Student_051,Male,5.6,75,15,75,Pass
Student_052,Male,4.8,85,18,40,Fail
Student_053,Female,6.4,50,12,52,Fail
Student_054,Male,9.6,68,12,74,Pass
Student_055,Male,5.5,90,17,20,Fail
Student_056,Male,7.1,96,12,20,Fail
Student_057,Female,5.4,95,17,73,Pass
Student_058,Female,4.6,61,25,35,Fail
Student_059,Male,4.5,65,20,71,Pass
Student_060,Female,5.7,53,22,27,Fail
Student_061,Male,3.3,59,16,33,Fail
Student_062,Female,9.1,52,23,59,Fail
Student_063,Male,2.3,72,22,61,Pass
Student_064,Male,7.6,59,18,37,Fail
Student_065,Male,5.7,70,23,69,Pass
Student_066,Female,9.1,70,11,35,Fail
Student_067,Male,0.4,99,23,20,Fail
Student_068,Female,2.6,63,13,61,Fail
Student_069,Female,6.3,82,24,34,Fail
Student_070,Male,1.7,70,14,70,Pass
Student_071,Male,5.7,54,13,34,Fail
Student_072,Female,6.6,59,23,57,Fail
Student_073,Male,3.4,60,21,45,Fail
Student_074,Male,8.8,73,13,20,Fail
Student_075,Female,3.4,67,12,51,Fail
Student_076,Female,1.4,54,12,58,Fail
Student_077,Male,4.0,80,17,65,Pass
Student_078,Male,3.9,60,22,42,Fail
Student_079,Female,8.8,100,16,65,Pass
Student_080,Female,6.5,65,11,70,Pass
Student_081,Female,4.0,84,11,49,Fail
Student_082,Male,5.5,58,16,63,Fail
Student_083,Male,1.1,92,18,55,Fail
Student_084,Male,0.5,60,23,33,Fail
Student_085,Male,4.9,86,23,33,Fail
Student_086,Male,5.7,76,17,62,Fail
Student_087,Female,7.8,61,23,44,Fail
Student_088,Male,6.9,59,21,49,Fail
Student_089,Male,8.5,62,20,28,Fail
Student_090,Male,4.5,84,25,42,Fail
Student_091,Male,4.7,78,25,55,Pass
Student_092,Male,3.0,61,14,70,Pass
Student_093,Male,1.2,61,20,21,Fail
Student_094,Female,6.1,62,15,69,Pass
Student_095,Male,6.7,88,19,36,Fail
Student_096,Female,8.9,63,25,49,Fail
Student_097,Male,6.3,75,17,29,Fail
Student_098,Male,6.5,52,24,46,Fail
Student_099,Female,5.1,50,16,57,Fail
Student_100,Female,2.3,68,17,72,Pass
Student_101,Female,5.4,64,12,52,Fail
Student_102,Female,3.2,57,10,48,Fail
Student_103,Female,5.7,56,12,34,Fail
Student_104,Male,6.9,89,25,57,Pass
Student_105,Female,4.7,60,21,25,Fail
Student_106,Male,4.6,50,22,21,Fail
Student_107,Male,4.3,56,22,75,Fail
Student_108,Male,3.7,92,19,31,Fail
Student_109,Male,5.5,85,11,40,Fail
Student_110,Female,5.0,81,20,75,Pass
Student_111,Male,4.6,66,12,29,Fail
Student_112,Male,8.0,92,13,43,Fail
Student_113,Female,5.1,74,23,71,Pass
Student_114,Female,4.3,53,13,24,Fail
Student_115,Female,5.7,58,15,27,Fail
Student_116,Male,2.8,98,20,61,Pass
Student_117,Female,5.0,74,24,43,Fail
Student_118,Female,5.8,80,13,28,Fail
Student_119,Male,6.9,100,10,22,Fail
Student_120,Male,8.5,81,25,51,Fail
Student_121,Female,5.6,66,17,20,Fail
Student_122,Male,4.5,73,12,25,Fail
Student_123,Male,6.9,72,10,23,Fail
Student_124,Male,7.6,57,19,51,Fail
Student_125,Male,3.6,50,18,32,Fail
Student_126,Female,3.4,98,22,56,Fail
Student_127,Male,7.9,87,24,27,Fail
Student_128,Male,6.1,58,20,29,Fail
Student_129,Male,4.1,54,22,74,Fail
Student_130,Female,2.5,88,16,25,Fail
Student_131,Male,3.5,58,11,55,Fail
Student_132,Female,1.5,51,25,66,Fail
Student_133,Female,2.9,98,24,63,Pass
Student_134,Female,4.9,79,19,37,Fail
Student_135,Male,7.4,51,24,67,Fail
Student_136,Male,2.5,60,12,54,Fail
Student_137,Female,2.6,86,14,27,Fail
Student_138,Male,0.0,78,19,36,Fail
Student_139,Male,3.4,85,24,47,Fail
Student_140,Male,5.1,95,16,33,Fail
Student_141,Male,6.4,69,23,40,Fail
Student_142,Male,7.8,71,22,26,Fail
Student_143,Female,5.9,68,18,30,Fail
Student_144,Female,0.5,63,23,57,Pass
Student_145,Female,2.0,82,21,20,Fail
Student_146,Male,6.1,87,19,61,Pass
Student_147,Male,5.6,99,16,29,Fail
Student_148,Female,5.3,96,12,47,Fail
Student_149,Male,6.0,98,25,44,Fail
Student_150,Female,3.1,86,18,33,Fail
Student_151,Female,2.0,75,20,49,Fail
Student_152,Male,3.7,63,14,54,Fail
Student_153,Male,4.7,60,24,66,Pass
Student_154,Female,5.5,79,16,60,Fail
Student_155,Male,7.0,72,15,56,Fail
Student_156,Male,5.5,52,17,23,Fail
Student_157,Female,4.9,63,15,24,Fail
Student_158,Male,1.4,93,23,49,Fail
Student_159,Male,2.3,71,18,30,Fail
Student_160,Female,2.7,99,24,36,Fail
Student_161,Female,6.7,67,18,48,Fail
Student_162,Male,6.1,82,15,30,Fail
Student_163,Male,3.0,50,19,40,Fail
Student_164,Female,2.0,79,22,20,Fail
Student_165,Female,0.0,73,25,60,Pass
Student_166,Male,7.0,90,24,22,Fail
Student_167,Male,5.8,55,24,61,Fail
Student_168,Male,5.9,68,21,40,Fail
Student_169,Female,3.1,78,17,50,Fail
Student_170,Male,2.1,77,17,21,Fail
Student_171,Male,2.0,96,12,51,Fail
Student_172,Female,5.7,55,10,35,Fail
Student_173,Male,4.3,85,16,53,Fail
Student_174,Female,6.3,58,19,44,Fail
Student_175,Female,6.1,60,15,64,Fail
Student_176,Male,5.3,55,25,39,Fail
Student_177,Female,7.1,61,15,63,Fail
Student_178,Female,7.6,97,14,72,Pass
Student_179,Female,3.3,90,15,75,Pass
Student_180,Female,6.8,79,16,33,Fail
Student_181,Male,4.8,66,15,63,Fail
Student_182,Male,4.1,58,19,42,Fail
Student_183,Male,3.8,61,20,25,Fail
Student_184,Male,5.0,76,12,42,Fail
Student_185,Female,7.7,53,24,25,Fail
Student_186,Male,6.8,92,18,52,Fail
Student_187,Male,7.1,91,24,67,Pass
Student_188,Male,4.7,90,14,20,Fail
Student_189,Female,5.9,65,19,32,Fail
Student_190,Female,3.5,81,19,26,Fail
Student_191,Male,5.3,94,21,66,Pass
Student_192,Female,6.2,95,16,43,Fail
Student_193,Female,7.9,77,23,22,Fail
Student_194,Female,2.4,91,12,66,Fail
Student_195,Male,5.9,63,13,60,Fail
Student_196,Male,5.5,70,21,71,Pass
Student_197,Male,5.7,90,17,68,Pass
Student_198,Female,3.0,87,25,59,Pass
Student_199,Female,3.7,51,19,44,Fail
Student_200,Female,4.5,100,19,69,Pass
Student_201,Female,4.2,73,18,40,Fail
Student_202,Female,5.9,68,14,74,Pass
Student_203,Female,6.3,80,15,47,Fail
Student_204,Female,5.5,59,21,25,Fail
Student_205,Male,4.5,58,17,61,Fail
Student_206,Female,5.0,74,21,39,Fail
Student_207,Male,7.1,96,14,51,Fail
Student_208,Male,6.7,99,13,71,Pass
Student_209,Male,6.2,65,13,20,Fail
Student_210,Male,5.0,90,13,74,Pass
Student_211,Male,1.4,73,15,73,Pass
Student_212,Male,4.2,92,10,52,Fail
Student_213,Male,4.5,71,22,27,Fail
Student_214,Male,1.6,51,24,20,Fail
Student_215,Female,2.4,78,12,64,Fail
Student_216,Female,3.9,69,21,28,Fail
Student_217,Male,10.0,52,16,43,Fail
Student_218,Female,8.3,82,21,25,Fail
Student_219,Female,7.0,51,23,22,Fail
Student_220,Female,4.2,75,12,26,Fail
Student_221,Female,1.2,61,21,53,Fail
Student_222,Male,8.0,66,20,39,Fail
Student_223,Female,8.5,74,25,48,Fail
Student_224,Female,4.9,72,25,66,Pass
Student_225,Female,4.8,95,22,29,Fail
Student_226,Female,3.8,94,10,20,Fail
Student_227,Female,7.9,73,22,35,Fail
Student_228,Male,3.3,84,22,44,Fail
Student_229,Female,6.5,95,23,61,Pass
Student_230,Male,1.6,55,10,36,Fail
Student_231,Male,8.4,85,10,41,Fail
Student_232,Female,7.2,98,24,75,Pass
Student_233,Female,2.1,89,19,51,Fail
Student_234,Female,4.2,72,10,49,Fail
Student_235,Female,3.5,55,23,35,Fail
Student_236,Male,5.9,83,10,59,Fail
Student_237,Male,4.7,97,16,60,Fail
Student_238,Female,2.8,50,10,64,Fail
Student_239,Female,4.9,60,13,29,Fail
Student_240,Male,4.5,99,19,63,Pass
Student_241,Female,6.9,69,11,33,Fail
Student_242,Male,5.6,69,13,66,Fail
Student_243,Male,7.6,56,23,63,Fail
Student_244,Female,2.6,74,14,23,Fail
Student_245,Female,2.2,64,21,54,Fail
Student_246,Female,8.4,55,13,58,Fail
Student_247,Male,5.1,66,16,61,Fail
Student_248,Female,8.0,51,25,65,Fail
Student_249,Female,6.0,71,19,52,Fail
Student_250,Male,4.0,63,21,64,Pass
